ID,Leaf.1.adjusted,Leaf.2.adjusted,Leaf.3.adjusted,neg_recip_L1_adj,neg_recip_L2_adj,neg_recip_L3_adj,Internode_1_day_21,Internode_2_day_21,Internode_3_day_21,Height_mm_day_21,Number_leaves_day_21,Day_germ,Ever_flowered,more_than_one_flower_per_day,flowers_per_day_greater_than_one,more_than_one_flower_on_cyme,flowers_per_cyme_greater_than_one,TwoOrMore,ThreeOrMore,Color_numeric,Cyme_length,flowers_per_day,Flowers_buds_on_cymepeduncle,Cor_Length,Cor_tissue_Length,Cor_Width,L_over_W,LV_over_L,Style_Length,Anther_stigma_position,Nectar.volume.uL,LnNectaruLPlusOne,n_flowers,Pollen_per_flower,avg.number,avg.size,Sterility
F2_473,14,16,18,-0.0714285714285714,-0.0625,-0.0555555555555556,19,8,52,445,5,272,1,0,NA,1,2,0,0,1,31.8,1,2,27.6,31.1,19.3,1.4300518134715,1.1268115942029,14.5,0,0.45238934211693,0.373210022412785,1,NA,NA,NA,0
F2_474,14,16,18,-0.0714285714285714,-0.0625,-0.0555555555555556,11,11,56,252,3,285,1,0,NA,0,NA,0,0,1,14.4,1,1,27,30.5,22,1.22727272727273,1.12962962962963,17.1,0,0,0,1,NA,NA,NA,0
F2_475,16,18,20,-0.0625,-0.0555555555555556,-0.05,20,58,76,230,2,280,1,0,NA,1,1.5,1,0,1,16.85,1,1.5,26.1,30.15,20.7,1.26183915561367,1.155196206527,16.4,0,0.14451326206513,0.134979447993091,2,NA,NA,NA,0
F2_476,14,16,18,-0.0714285714285714,-0.0625,-0.0555555555555556,10,24,69,296,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_477,16,17,19,-0.0625,-0.0588235294117647,-0.0526315789473684,8,17,39,188,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_478,14,15,18,-0.0714285714285714,-0.0666666666666667,-0.0555555555555556,9,0,36,212,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_479,13,15,18,-0.0769230769230769,-0.0666666666666667,-0.0555555555555556,14,5,90,431,4,283,1,1,2,0,NA,0,0,0,10.6,2,1,21.9,25.6,19.6,1.11734693877551,1.1689497716895,13.1,0,0,0,1,NA,NA,NA,0
F2_480,13,15,17,-0.0769230769230769,-0.0666666666666667,-0.0588235294117647,20,61,137,676,7,311,1,0,NA,1,2,0,0,1,14.7,1,2,27.6,31.7,23.2,1.18965517241379,1.14855072463768,16.2,0,0,0,1,NA,NA,NA,0
F2_481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2_482,13,16,18,-0.0769230769230769,-0.0625,-0.0555555555555556,11,11,62,426,3,268,1,1,1.66666666666667,0,NA,1,1,1,23.0666666666667,1.66666666666667,1,28.1333333333333,31.4333333333333,20.2666666666667,1.39810734456423,1.11741278355408,15.2666666666667,0,0.330914426178125,0.285866244467154,3,NA,NA,NA,0
F2_483,13,14,16,-0.0769230769230769,-0.0714285714285714,-0.0625,12,11,53,465,4,193.5,1,0,NA,0,NA,1,0,1,15.85,1,1,26.15,29.8,20.25,1.29623296037524,1.14145633629408,16.15,0,0.0502654824574367,0.0490429726463299,2,NA,NA,NA,0
F2_484,13,14,16,-0.0769230769230769,-0.0714285714285714,-0.0625,13,4,49,418,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_485,19,NA,NA,-0.0526315789473684,NA,NA,0,0,0,13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_486,11,13,16,-0.0909090909090909,-0.0769230769230769,-0.0625,15,24,99,827,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_487,16,16,18,-0.0625,-0.0625,-0.0555555555555556,6,2,1,69,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_488,15,18,19,-0.0666666666666667,-0.0555555555555556,-0.0526315789473684,13,7,88,283,3,284,1,1,4,0,NA,1,1,1,15.8333333333333,4,1,23.6666666666667,27.6,21.1,1.12197436679728,1.1664268006053,14.9666666666667,0,0.0251327412287183,0.0248221078432733,3,NA,NA,NA,0
F2_489,12,14,16,-0.0833333333333333,-0.0714285714285714,-0.0625,13,28,82,707,9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_490,19,21,NA,-0.0526315789473684,-0.0476190476190476,NA,0,0,0,14,1,106.666666666667,1,1,1.66666666666667,1,1.33333333333333,1,1,1,28.5166666666667,1.66666666666667,1.33333333333333,28.1666666666667,32.2666666666667,20.2666666666667,1.39668109118342,1.14516094754593,14.6333333333333,0,0.575958653158129,0.45486375578578,6,403.75,250.5,67.45627171,0
F2_491,13,15,17,-0.0769230769230769,-0.0666666666666667,-0.0588235294117647,17,16,82,521,4,85.5,1,0,NA,1,2,1,0,0,40.1,1,2,30.6,34.9,21.8,1.41702308756251,1.14007969148925,16.55,0,0.408407044966673,0.342459310392664,2,NA,NA,NA,0
